Location,Type,Place,Duration,Hour of Day,Day of Week,Person
Bed,Pressure,Bedroom,7:50:12,2,Monday,Person A
Cabinet,Magnetic,Bathroom,0:00:07,10,Monday,Person A
Basin,PIR,Bathroom,0:01:47,10,Monday,Person A
Toilet,Flush,Bathroom,0:00:34,10,Monday,Person A
Shower,PIR,Bathroom,0:06:22,10,Monday,Person A
Fridge,Magnetic,Kitchen,0:00:18,10,Monday,Person A
Cupboard,Magnetic,Kitchen,0:02:33,10,Monday,Person A
Toaster,Electric,Kitchen,0:04:41,10,Monday,Person A
Fridge,Magnetic,Kitchen,0:00:07,10,Monday,Person A
Cupboard,Magnetic,Kitchen,0:00:07,10,Monday,Person A
Cooktop,PIR,Kitchen,0:00:16,10,Monday,Person A
Microwave,Electric,Kitchen,0:00:56,10,Monday,Person A
Basin,PIR,Bathroom,0:01:25,10,Monday,Person A
Seat,Pressure,Living,2:13:26,10,Monday,Person A
Basin,PIR,Bathroom,0:00:02,13,Monday,Person A
Toilet,Flush,Bathroom,0:00:24,13,Monday,Person A
Maindoor,Magnetic,Entrance,0:00:04,13,Monday,Person A
Maindoor,Magnetic,Entrance,0:00:10,13,Monday,Person A
Seat,Pressure,Living,0:43:00,13,Monday,Person A
Toilet,Flush,Bathroom,0:00:29,14,Monday,Person A
Fridge,Magnetic,Kitchen,0:01:35,14,Monday,Person A
Cupboard,Magnetic,Kitchen,0:00:07,14,Monday,Person A
Cooktop,PIR,Kitchen,0:10:48,14,Monday,Person A
Cupboard,Magnetic,Kitchen,0:00:12,14,Monday,Person A
Fridge,Magnetic,Kitchen,0:00:05,14,Monday,Person A
Basin,PIR,Bathroom,0:01:30,15,Monday,Person A
Seat,Pressure,Living,1:02:56,15,Monday,Person A
Basin,PIR,Bathroom,0:00:00,16,Monday,Person A
Seat,Pressure,Living,4:08:49,16,Monday,Person A
Fridge,Magnetic,Kitchen,0:00:04,20,Monday,Person A
Basin,PIR,Bathroom,0:10:51,11,Tuesday,Person A
Cabinet,Magnetic,Bathroom,0:00:21,11,Tuesday,Person A
Cabinet,Magnetic,Bathroom,0:00:02,11,Tuesday,Person A
Shower,PIR,Bathroom,0:01:16,11,Tuesday,Person A
Cupboard,Magnetic,Kitchen,0:00:53,12,Tuesday,Person A
Toaster,Electric,Kitchen,0:03:53,12,Tuesday,Person A
Fridge,Magnetic,Kitchen,0:00:13,12,Tuesday,Person A
Microwave,Electric,Kitchen,0:00:55,12,Tuesday,Person A
Cabinet,Magnetic,Bathroom,0:00:03,12,Tuesday,Person A
Basin,PIR,Bathroom,0:01:47,12,Tuesday,Person A
Toilet,Flush,Bathroom,0:00:02,12,Tuesday,Person A
Fridge,Magnetic,Kitchen,0:00:03,13,Tuesday,Person A
Seat,Pressure,Living,1:46:48,13,Tuesday,Person A
